,Gwynedd,Pembrokeshire,Monmouthshire,Swansea,Carmarthenshire,Cardiff,Blaenau Gwent,tag_name,year
178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,apple_mobile_device_application_development,2012
179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,apple_software,2012
180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,application_development,2012
181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,application_lifecycle_management,2012
182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,application_performance_management,2012
183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,application_performance_monitoring,2012
184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,application_programming_interface,2012
185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,application_security,2012
186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,applied_cognitive_science,2012
187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,applied_math,2012
188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,applied_statistics,2012
189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,apps,2012
190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,apps_for_smart_cities,2012
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,appstore,2012
192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aquaponic_and_hydroponics,2012
193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aquaponics,2012
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,arcade_gaming,2012
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,archaeology,2012
196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,architecture,2012
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,archiving,2012
198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,arcmap,2012
199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,arduino,2012
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,arduino_and_robotics,2012
201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,art,2012
202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,artificial_general_intelligence,2012
203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,artificial_intelligence,2012
204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,artificial_intelligence_applications,2012
205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,artificial_intelligence_machine_learning_robotics,2012
206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,artificial_intelligence_programming,2012
207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,artificial_life,2012
208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,artists,2012
209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,arts_&_entertainment,2012
210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,asp.net,2012
211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,asp.net_mvc,2012
212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,asp.net_web_api,2012
213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,assist_in_creating_youtube_videos,2012
214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,assist_new_business_start_ups,2012
215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,asterisk_pbx,2012
216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,astronomy,2012
217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,asynchronous_programming,2012
218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,atlassian,2012
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,atlassian_toolset,2012
220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,attivio,2012
221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,audio,2012
222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,audio_engineering,2012
223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,audio_production,2012
224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,audio_signal_processing,2012
225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,augmented/mixed_reality,2012
226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,augmented_reality,2012
227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aurelia,2012
228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,authenticity,2012
229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,authors,2012
230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,autism_spectrum_disorder,2012
231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,auto-classification,2012
232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,autocad,2012
233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,autodesk_3ds_max,2012
234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,automate_supply_chain_operations,2012
235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,automated_acceptance_testing,2012
236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,automated_testing,2012
237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,automated_trading,2012
238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,automated_trading_strategies,2012
239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,automating_web_application_testing,2012
240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,automation,2012
241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,automotive,2012
242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,autonomous_cars,2012
243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,autonomous_vehicles,2012
244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,autonomy_software,2012
245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,autosports,2012
246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aviation,2012
247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aviation_enthusiasts,2012
248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,avinash_kaushik,2012
249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,awareness,2012
250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aws,2012
251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aws_design_implementation_and_servicing,2012
252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aws_programming_and_tools,2012
253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aws_rds,2012
254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aws_s3,2012
255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,azure,2012
256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b.y.o.d_(bring_your_own_device),2012
257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b2b/b2c_content_strategy_for_online_marketing,2012
258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b2b_content_marketing,2012
259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b2b_networking,2012
260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baby_boomers,2012
261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,backbone,2012
262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,backbone.js,2012
263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,backend,2012
264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,backend_as_a_service,2012
265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,backup_and_recovery,2012
266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bamboo,2012
267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,banking,2012
268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,banking_reform,2012
269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,basics_of_iphone_app_development,2012
270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bath,2012
271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bayesian_networks,2012
272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bayesian_probability,2012
273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bayesian_statistics,2012
274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bdd,2012
275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,beach_life,2012
276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,beacons,2012
277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,beauty,2012
278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,beauty_bloggers,2012
279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,beauty_industry,2012
280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,becoming_your_authentic_self,2012
281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,beer,2012
282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,beer_beer_beer_and_more_beer,2012
283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,beginner_html_css,2012
284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,beginner_ios_developers,2012
285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,beginner_php_programming,2012
286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,beginner_web_developer,2012
287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,beginner_web_programming,2012
288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,behat,2012
289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,behavior_driven_development,2012
290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,behavioral_psychology,2012
291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,behaviour_change,2012
292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,behaviour_driven_development,2012
293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,behaviour_driven_testing,2012
294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,behavioural_economics,2012
295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,being_a_leader,2012
296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,belfast,2012
297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,belief_networks,2012
298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,best_practices_for_high_performance_ecommerce,2012
299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,best_practices_in_it/web_solutions_design_and_dev,2012
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bi_mobile,2012
301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bible_study,2012
302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,big_data-hadoop,2012
303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,big_data_analytics,2012
304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,big_data_developers,2012
305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,big_data_for_social_media,2012
306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,big_data_ingestion,2012
307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bigdata,2012
308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bigdatadevelopers,2012
309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bike_repair,2012
310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,biohack,2012
311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,biohacking,2012
312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bioinformatics,2012
313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,biological_engineering,2012
314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,biotech_&_medical,2012
315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,biotechnology,2012
316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,biotechnology_industry_organization,2012
317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bitbucket,2012
318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bitcoin,2012
319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bitcoin_business_model,2012
320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bitcoin_miners,2012
321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bitcoin_security,2012
322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bitcoin_traders,2012
323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bitemporal,2012
324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,black_hat_hacking,2012
325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,black_professionals,2012
326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,black_women,2012
327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blackberry,2012
328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blackberry_10_development,2012
329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blackberry_application_development,2012
330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blackberry_apps,2012
331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blackberry_developers_&_applications,2012
332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blackberry_development,2012
333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blackberry_java_development,2012
334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blackberry_web_development,2012
335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blender,2012
336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blender_3d,2012
337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blockchain,2012
338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blockchain_security,2012
339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blog_marketing,2012
340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blog_writers,2012
341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blogging,2012
342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blogging_for_business,2012
343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blogging_tips_+_tricks,2012
344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blogging_to_promote_yourself,2012
345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth_low_energy,2012
346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bluetooth_technology,2012
347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,board_games,2012
348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,book_publishing,2012
349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bootstrap,2012
350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,born_again_christian,2012
351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bots,2012
352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bpm,2012
353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brain,2012
354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brain-computer_interface,2012
355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brainstorming_ideas,2012
356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brand_design,2012
357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brand_strategy,2012
358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branded_content,2012
359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,branding,2012
360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brexit,2012
361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bring_angel_investors_and_startups_together,2012
362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bristol,2012
363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,british_television,2012
364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,broadcasting_and_media_graphics,2012
365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,browsers,2012
366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,build_automation,2012
367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,building_a_better_world,2012
368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,building_a_user_friendly_cms_with_umbraco,2012
369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,building_an_online_business,2012
370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,building_android_apps_with_appcelerator_titanium,2012
371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,building_blackberry_apps_with_titanium,2012
372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,building_drones,2012
373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,building_filemaker_databases,2012
374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,building_iphone_apps_with_appcelerator_titanium,2012
375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,building_private_cloud_with_openstack,2012
376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,building_robots_for_the_home,2012
377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,building_the_sharing_economy,2012
378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,building_your_mvp:_minimum_viable_product,2012
379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business,2012
380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_analysis,2012
381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_analysis_tools_and_techniques,2012
382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_analysts,2012
383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_analytics,2012
384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_applications_for_sharepoint,2012
385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_architecture,2012
386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_brainstorming,2012
387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_change,2012
388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_continuity,2012
389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_development,2012
390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_growth,2012
391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_in_cambridge_uk,2012
392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_incubator,2012
393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_intelligence,2012
394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_intelligence_best_practices,2012
395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_intelligence_data_warehousing,2012
396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_intelligence_in_cloud,2012
397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_intelligence_strategy,2012
398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_intelligence_tools_and_technology,2012
399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_leadership,2012
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_management,2012
401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_mentoring,2012
402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_model_innovation,2012
403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_models,2012
404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_owners,2012
405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_process,2012
406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_process_automation,2012
407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_process_improvement,2012
408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_process_management,2012
409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_process_management_systems,2012
410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_referral_networking,2012
411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_solutions,2012
412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_start_up,2012
413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_startup,2012
414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_strategies_and_networking,2012
415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_strategy,2012
416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,business_transformation,2012
417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,businessobjects,2012
418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c#,2012
419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c#.net,2012
420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c#_/_csharp,2012
421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c++_programming,2012
422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c-level_tech,2012
423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c/c++,2012
424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c_/_c_+_+,2012
425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c_programming_language,2012
426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c_sharp,2012
427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c_sharp_development,2012
428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cad/cam,2012
429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cad_design_&_development_services,2012
430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calling_r_using_a_local_interface,2012
431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,camera_&_lighting,2012
432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,campaigns,2012
433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canvas,2012
434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,card_games,2012
435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,career,2012
436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,career_&_business,2012
437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,career_coaching,2012
438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,career_network,2012
439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,caregiver,2012
440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cartography,2012
441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cassandra,2012
442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ccie,2012
443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,censorship_and_freedom_of_speech,2012
444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centos,2012
445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ceo,2012
446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ceo_2_ceo_coaching_&_mentoring_for_mutual_growth,2012
447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ceo_network,2012
448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ceos_&_founders,2012
449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ceph,2012
450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ceramic_arts,2012
451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cfengine,2012
452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cfml,2012
453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cg_animation,2012
454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cg_artists,2012
455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,change_leadership,2012
456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,change_management,2012
457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,changemakers,2012
458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,changing_self_limiting_beliefs,2012
459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,character_design,2012
460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,character_modeling,2012
461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,charities,2012
462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,charity,2012
463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,charity_events,2012
464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,charting,2012
465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,chatbots,2012
466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,chatops,2012
467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,chef-software,2012
468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,chemistry,2012
469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,chinese_culture,2012
470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,chinese_language,2012
471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,christian,2012
472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,christian_business_owners,2012
473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,christian_business_principles,2012
474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,christian_entrepreneurs,2012
475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,christian_ministry,2012
476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,christian_social,2012
477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,chronic_diseases,2012
478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,church,2012
479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cider,2012
480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cinema_4d,2012
481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cio,2012
482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cio_/_cto,2012
483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cisco_systems,2012
484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cissp,2012
485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,citizen_activism,2012
486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,citizen_journalism,2012
487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,citizen_science,2012
488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,civic_action,2012
489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,civic_engagement,2012
490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,civic_engagement_&_technology,2012
491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,civic_hacking,2012
492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,civictech,2012
493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,civil_rights,2012
494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_code,2012
495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean_technology,2012
496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cleantech_and_information_technology,2012
497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cleanweb,2012
498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,climate_change,2012
499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,climate_change_solutions,2012
500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clinical_research,2012
501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clojure,2012
502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clojurescript,2012
503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clothing_and_fashion_designers,2012
504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cloud_computing,2012
505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cloud_computing_security,2012
506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cloud_foundry,2012
507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cloud_identity,2012
508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cloud_infrastructure,2012
509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cloud_native,2012
510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cloud_networking,2012
511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cloud_security,2012
512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cloud_services,2012
513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cloud_storage,2012
514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cloud_storage_apis,2012
515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cloud_to_cloud_itegration,2012
516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cloudera,2012
517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clover,2012
518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clusterhq,2012
519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clustering,2012
520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cmmi,2012
521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cms_(content_management_systems),2012
